586,2011/1/26,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0.217391304,0.197,0.93,0.38603503,36
6,2011/1/1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0.239130435,0.2576,0.75,0.105325026,1
14,2011/1/1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0.47826087,0.4545,0.72,0.350887504,94
15,2011/1/1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.47826087,0.4545,0.72,0.333372517,106
16,2011/1/1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0.456521739,0.4394,0.77,0.350887504,110
17,2011/1/1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0.434782609,0.4242,0.82,0.350887504,93
18,2011/1/1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0.456521739,0.4394,0.82,0.333372517,67
19,2011/1/1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0.434782609,0.4242,0.88,0.298224991,35
20,2011/1/1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0.434782609,0.4242,0.88,0.298224991,37
21,2011/1/1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0.413043478,0.4091,0.87,0.298224991,36
22,2011/1/1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0.413043478,0.4091,0.87,0.22804749,34
23,2011/1/1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0.413043478,0.4091,0.94,0.263195016,28
24,2011/1/1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0.47826087,0.4545,0.88,0.350887504,39
25,2011/1/2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.47826087,0.4545,0.88,0.350887504,17
26,2011/1/2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.456521739,0.4394,0.94,0.298224991,17
27,2011/1/2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.434782609,0.4242,1,0.333372517,9
